reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,0
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,297
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,710
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,1109
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1501
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1894
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,2293
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,2706
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,3140
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,3609
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,4132
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,4740
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,5506
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,6642
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,7626
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,8771
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,0
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,82
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,891
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,1658
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,2401
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,3132
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,3863
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,4606
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,5374
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,6183
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,7056
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,8028
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,9161
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,10587
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,12700
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,14534
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,16665
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,0
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,56
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,1201
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.35,2261
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.4,3268
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.45,4242
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.5,5200
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.55,6159
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.6,7132
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.65,8139
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.7,9200
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.75,10344
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.8,11619
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.85,13105
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.9,14974
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.95,17745
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.975,20149
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.99,22943
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.01,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.025,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.05,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.1,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.15,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.2,0
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.25,342
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.3,806
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.35,1236
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.4,1645
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.45,2040
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.5,2428
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.55,2817
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.6,3212
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.65,3620
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.7,4050
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.75,4514
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.8,5031
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.85,5634
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.9,6392
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.95,7516
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.975,8490
2025-10-04,wk inc flu hosp,1,2025-10-11,US,quantile,0.99,9624
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.01,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.025,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.05,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.1,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.15,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.2,0
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.25,616
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.3,1479
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.35,2280
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.4,3040
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.45,3774
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.5,4498
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.55,5221
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.6,5956
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.65,6715
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.7,7516
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.75,8380
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.8,9342
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.85,10463
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.9,11874
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.95,13965
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.975,15778
2025-10-04,wk inc flu hosp,2,2025-10-18,US,quantile,0.99,17887
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.01,0
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.025,0
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.05,0
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.1,0
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.15,0
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.2,438
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.25,1699
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.3,2831
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.35,3881
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.4,4876
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.45,5840
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.5,6788
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.55,7736
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.6,8699
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.65,9694
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.7,10744
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.75,11876
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.8,13137
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.85,14607
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.9,16456
2025-10-04,wk inc flu hosp,3,2025-10-25,US,quantile,0.95,19197
