model,reference_date,horizon,target_end_date,location,observed,median,absolute_error,squared_error,wis,lower_95,upper_95,coverage_95,width_95
Original ARIMA,2025-09-27,1,2025-10-04,US,976,1150,174,30276,325.57000000000005,0,4464,TRUE,4464
Original ARIMA,2025-09-27,2,2025-10-11,US,1016,1218,202,40804,561.3929166666666,0,8001,TRUE,8001
Original ARIMA,2025-09-27,3,2025-10-18,US,1119,1218,99,9801,726.7020833333335,0,10985,TRUE,10985
Original ARIMA,2025-10-04,1,2025-10-11,US,1016,908,108,11664,304.0083333333333,0,4216,TRUE,4216
Original ARIMA,2025-10-04,2,2025-10-18,US,1119,850,269,72361,521.3195833333333,0,7621,TRUE,7621
Original ARIMA,2025-10-04,3,2025-10-25,US,1199,850,349,121801,690.2758333333333,0,10598,TRUE,10598
Original ARIMA,2025-10-11,1,2025-10-18,US,1119,1043,76,5776,309.7704166666667,0,4345,TRUE,4345
Original ARIMA,2025-10-11,2,2025-10-25,US,1199,1079,120,14400,536.41875,0,7837,TRUE,7837
Original ARIMA,2025-10-11,3,2025-11-01,US,1358,1079,279,77841,718.4837500000002,0,10809,TRUE,10809
Original ARIMA,2025-10-18,1,2025-10-25,US,1199,1215,16,256,313.85791666666665,0,4511,TRUE,4511
Original ARIMA,2025-10-18,2,2025-11-01,US,1358,1240,118,13924,554.8516666666667,0,7986,TRUE,7986
Original ARIMA,2025-10-18,3,2025-11-08,US,1787,1240,547,299209,764.5295833333333,0,10953,TRUE,10953
Original ARIMA,2025-10-25,1,2025-11-01,US,1358,1212,146,21316,324.1058333333334,0,4502,TRUE,4502
Original ARIMA,2025-10-25,2,2025-11-08,US,1787,1207,580,336400,600.9608333333333,0,7940,TRUE,7940
Original ARIMA,2025-10-25,3,2025-11-15,US,2487,1207,1280,1638400,876.60875,0,10901,TRUE,10901
Original ARIMA,2025-11-01,1,2025-11-08,US,1787,1467,320,102400,357.67708333333326,0,4751,TRUE,4751
Original ARIMA,2025-11-01,2,2025-11-15,US,2487,1516,971,942841,705.2379166666668,0,8237,TRUE,8237
Original ARIMA,2025-11-01,3,2025-11-22,US,3584,1516,2068,4276624,1125.0870833333336,0,11193,TRUE,11193
Original ARIMA,2025-11-08,1,2025-11-15,US,2487,2087,400,160000,383.4670833333333,0,5365,TRUE,5365
Original ARIMA,2025-11-08,2,2025-11-22,US,3584,2194,1390,1932100,866.6995833333334,0,8903,TRUE,8903
Original ARIMA,2025-11-08,3,2025-11-29,US,5220,2194,3026,9156676,1553.4304166666668,0,11853,TRUE,11853
Original ARIMA,2025-11-15,1,2025-11-22,US,3584,2908,676,456976,458.27458333333317,0,6181,TRUE,6181
Original ARIMA,2025-11-15,2,2025-11-29,US,5220,3042,2178,4743684,1198.4391666666668,0,9740,TRUE,9740
Original ARIMA,2025-11-15,3,2025-12-06,US,7449,3042,4407,19421649,2306.565833333333,0,12686,TRUE,12686
Original ARIMA,2025-11-22,1,2025-11-29,US,5220,4249,971,942841,565.9508333333333,982,7516,TRUE,6534
Original ARIMA,2025-11-22,2,2025-12-06,US,7449,4475,2974,8844676,1621.6470833333333,0,11163,TRUE,11163
Original ARIMA,2025-11-22,3,2025-12-13,US,11156,4475,6681,44635761,3861.664166666667,0,14106,TRUE,14106
Original ARIMA,2025-11-29,1,2025-12-06,US,7449,6210,1239,1535121,687.0495833333333,2947,9474,TRUE,6527
Original ARIMA,2025-11-29,2,2025-12-13,US,11156,6536,4620,21344400,2704.5558333333333,0,13218,TRUE,13218
Original ARIMA,2025-11-29,3,2025-12-20,US,21083,6536,14547,211615209,11009.917083333334,0,16159,FALSE,16159
Original ARIMA,2025-12-06,1,2025-12-13,US,11156,8751,2405,5784025,1433.4008333333334,5490,12012,TRUE,6522
Original ARIMA,2025-12-06,2,2025-12-20,US,21083,9168,11915,141967225,9471.949583333333,2488,15847,FALSE,13359
Original ARIMA,2025-12-06,3,2025-12-27,US,37602,9168,28434,808492356,24911.014583333337,0,18791,FALSE,18791
Original ARIMA,2025-12-13,1,2025-12-20,US,21083,13474,7609,57896881,6413.8675,10207,16741,FALSE,6534
Original ARIMA,2025-12-13,2,2025-12-27,US,37602,14291,23311,543402721,20860.13666666667,7591,20991,FALSE,13400
Original ARIMA,2025-12-13,3,2026-01-03,US,42634,14291,28343,803325649,24808.957500000004,4630,23952,FALSE,19322
Original ARIMA,2025-12-20,1,2025-12-27,US,37602,28033,9569,91565761,8331.871666666666,24652,31414,FALSE,6762
Original ARIMA,2025-12-20,2,2026-01-03,US,42634,30729,11905,141729025,9352.077499999998,23750,37708,FALSE,13958
Original ARIMA,2025-12-20,3,2026-01-10,US,29933,30729,796,633616,1131.5166666666667,20623,40835,TRUE,20212
Original ARIMA,2025-12-27,1,2026-01-03,US,42634,49594,6960,48441600,5703.602083333334,46159,53030,FALSE,6871
Original ARIMA,2025-12-27,2,2026-01-10,US,29933,56081,26148,683717904,23480.1975,48788,63374,FALSE,14586
Original ARIMA,2025-12-27,3,2026-01-17,US,19754,60812,41058,1685759364,37090.219999999994,49965,71659,FALSE,21694
Original ARIMA,2026-01-03,1,2026-01-10,US,29933,41438,11505,132365025,10186.446666666665,37834,45042,FALSE,7208
Original ARIMA,2026-01-03,2,2026-01-17,US,19754,39537,19783,391367089,17035.602916666667,32026,47049,FALSE,15023
Original ARIMA,2026-01-03,3,2026-01-24,US,16819,39537,22718,516107524,18743.3,28671,50403,FALSE,21732
Original ARIMA,2026-01-10,1,2026-01-17,US,19754,17382,2372,5626384,1359.8329166666667,13639,21126,TRUE,7487
Original ARIMA,2026-01-10,2,2026-01-24,US,16819,15038,1781,3171961,1176.2637500000003,6909,23168,TRUE,16259
Original ARIMA,2026-01-10,3,2026-01-31,US,15751,18394,2643,6985449,1721.654166666667,6666,30122,TRUE,23456
Original ARIMA,2026-01-17,1,2026-01-24,US,16819,19663,2844,8088336,1707.4079166666668,15918,23409,TRUE,7491
Original ARIMA,2026-01-17,2,2026-01-31,US,15751,23580,7829,61293241,5045.205416666667,15522,31639,TRUE,16117
Original ARIMA,2026-01-17,3,2026-02-07,US,16121,23281,7160,51265600,4092.1370833333335,11765,34796,TRUE,23031
Original ARIMA,2026-01-24,1,2026-01-31,US,15751,18183,2432,5914624,1399.3145833333335,14431,21934,TRUE,7503
Original ARIMA,2026-01-24,2,2026-02-07,US,16121,17344,1223,1495729,1014.7262500000002,9295,25394,TRUE,16099
Original ARIMA,2026-01-24,3,2026-02-14,US,16436,16081,355,126025,1233.2983333333334,4527,27635,TRUE,23108
Original ARIMA,2026-01-31,1,2026-02-07,US,16121,12831,3290,10824100,2052.1629166666667,9077,16586,TRUE,7509
Original ARIMA,2026-01-31,2,2026-02-14,US,16436,11092,5344,28558336,3091.8366666666666,3030,19154,TRUE,16124
Original ARIMA,2026-01-31,3,2026-02-21,US,14731,12303,2428,5895184,1635.5170833333334,761,23846,TRUE,23085
Original ARIMA,2026-02-07,1,2026-02-14,US,16436,17231,795,632025,534.9958333333333,13465,20997,TRUE,7532
Original ARIMA,2026-02-07,2,2026-02-21,US,14731,19114,4383,19210689,2444.712083333334,11048,27179,TRUE,16131
Original ARIMA,2026-02-07,3,2026-02-28,US,11159,19006,7847,61575409,4574.919166666666,7477,30535,TRUE,23058
Original ARIMA,2026-02-14,1,2026-02-21,US,14731,17649,2918,8514724,1761.4037500000002,13889,21410,TRUE,7521
Original ARIMA,2026-02-14,2,2026-02-28,US,11159,17395,6236,38887696,3762.8295833333327,9348,25443,TRUE,16095
Original ARIMA,2026-02-14,3,2026-03-07,US,9598,16669,7071,49999041,4033.7775000000006,5166,28172,TRUE,23006
Original ARIMA,2026-02-21,1,2026-02-28,US,11159,11959,800,640000,536.8345833333332,8192,15727,TRUE,7535
Original ARIMA,2026-02-21,2,2026-03-07,US,9598,10654,1056,1115136,974.61125,2585,18724,TRUE,16139
Original ARIMA,2026-02-21,3,2026-03-14,US,7793,11382,3589,12880921,2062.130416666667,0,22905,TRUE,22905
Original ARIMA,2026-02-28,1,2026-03-07,US,9598,9178,420,176400,441.8375000000001,5416,12940,TRUE,7524
Original ARIMA,2026-02-28,2,2026-03-14,US,7793,9743,1950,3802500,1228.0779166666666,1680,17807,TRUE,16127
Original ARIMA,2026-02-28,3,2026-03-21,US,6088,10034,3946,15570916,2207.044166666666,0,21554,TRUE,21554
Original ARIMA,2026-03-07,1,2026-03-14,US,7793,10526,2733,7469289,1623.310416666667,6771,14282,TRUE,7511
Original ARIMA,2026-03-07,2,2026-03-21,US,6088,10904,4816,23193856,2734.5020833333333,2855,18952,TRUE,16097
Original ARIMA,2026-03-07,3,2026-03-28,US,3306,10475,7169,51394561,4094.9700000000007,0,21970,TRUE,21970
Original ARIMA,2026-03-14,1,2026-03-21,US,6088,5774,314,98596,424.1470833333333,2012,9535,TRUE,7523
Original ARIMA,2026-03-14,2,2026-03-28,US,3306,4726,1420,2016400,1040.6299999999999,0,12784,TRUE,12784
Original ARIMA,2026-03-14,3,2026-04-04,US,2901,5067,2166,4691556,1482.4866666666667,0,16582,TRUE,16582
Original ARIMA,2026-03-21,1,2026-03-28,US,3306,5312,2006,4024036,1115.2033333333331,1557,9067,TRUE,7510
Original ARIMA,2026-03-21,2,2026-04-04,US,2901,5729,2828,7997584,1568.2695833333337,0,13773,TRUE,13773
Original ARIMA,2026-03-21,3,2026-04-11,US,2235,5940,3705,13727025,2063.1275,0,17434,TRUE,17434
Original ARIMA,2026-03-28,1,2026-04-04,US,2901,1978,923,851929,561.9966666666667,0,5734,TRUE,5734
Original ARIMA,2026-03-28,2,2026-04-11,US,2235,1717,518,268324,717.6608333333332,0,9760,TRUE,9760
Original ARIMA,2026-03-28,3,2026-04-18,US,1941,1654,287,82369,897.8175,0,13152,TRUE,13152
Original ARIMA,2026-04-04,1,2026-04-11,US,2235,3454,1219,1485961,691.5916666666666,0,7204,TRUE,7204
Original ARIMA,2026-04-04,2,2026-04-18,US,1941,3634,1693,2866249,1091.5512500000002,0,11659,TRUE,11659
Original ARIMA,2026-04-04,3,2026-04-25,US,1877,3664,1787,3193369,1318.3566666666668,0,15130,TRUE,15130
Original ARIMA,2026-04-11,1,2026-04-18,US,1941,1354,587,344569,440.37791666666664,0,5101,TRUE,5101
Original ARIMA,2026-04-11,2,2026-04-25,US,1877,1063,814,662596,691.0820833333333,0,9073,TRUE,9073
Original ARIMA,2026-04-11,3,2026-05-02,US,1649,1106,543,294849,837.9908333333333,0,12550,TRUE,12550
Original ARIMA,2026-04-18,1,2026-04-25,US,1877,2167,290,84100,406.46416666666664,0,5908,TRUE,5908
Original ARIMA,2026-04-18,2,2026-05-02,US,1649,2360,711,505521,799.7195833333332,0,10357,TRUE,10357
Original ARIMA,2026-04-18,3,2026-05-09,US,1473,2394,921,848241,1046.3037499999998,0,13821,TRUE,13821
Original ARIMA,2026-04-25,1,2026-05-02,US,1649,1816,167,27889,384.04833333333335,0,5550,TRUE,5550
Original ARIMA,2026-04-25,2,2026-05-09,US,1473,1769,296,87616,699.8325,0,9752,TRUE,9752
Original ARIMA,2026-04-25,3,2026-05-16,US,1306,1705,399,159201,908.0391666666666,0,13114,TRUE,13114
Original ARIMA,2026-05-02,1,2026-05-09,US,1473,1453,20,400,358.7129166666666,0,5181,TRUE,5181
Original ARIMA,2026-05-02,2,2026-05-16,US,1306,1340,34,1156,631.7458333333333,0,9310,TRUE,9310
Original ARIMA,2026-05-02,3,2026-05-23,US,1250,1410,160,25600,849.5379166666667,0,12799,TRUE,12799
Original ARIMA,2026-05-09,1,2026-05-16,US,1306,1378,72,5184,359.2666666666667,0,5100,TRUE,5100
Original ARIMA,2026-05-09,2,2026-05-23,US,1250,1452,202,40804,658.3216666666666,0,9408,TRUE,9408
Original ARIMA,2026-05-09,3,2026-05-30,US,1060,1461,401,160801,876.4870833333333,0,12831,TRUE,12831
Original ARIMA,2026-05-16,1,2026-05-23,US,1250,1316,66,4356,355.39875,0,5031,TRUE,5031
Original ARIMA,2026-05-16,2,2026-05-30,US,1060,1304,244,59536,643.3454166666667,0,9247,TRUE,9247
Original ARIMA,2026-05-16,3,2026-06-06,US,1011,1278,267,71289,836.1862500000001,0,12629,TRUE,12629
ARIMAX: surveillance + seasonal,2025-09-27,1,2025-10-04,US,976,1672,696,484416,623.87375,0,7721,TRUE,7721
ARIMAX: surveillance + seasonal,2025-09-27,2,2025-10-11,US,1016,3339,2323,5396329,1436.8783333333338,0,14810,TRUE,14810
ARIMAX: surveillance + seasonal,2025-09-27,3,2025-10-18,US,1119,5520,4401,19368801,2442.0333333333333,0,20866,TRUE,20866
ARIMAX: surveillance + seasonal,2025-10-04,1,2025-10-11,US,1016,2380,1364,1860496,835.5870833333333,0,8367,TRUE,8367
ARIMAX: surveillance + seasonal,2025-10-04,2,2025-10-18,US,1119,4533,3414,11655396,1892.5937500000007,0,15883,TRUE,15883
ARIMAX: surveillance + seasonal,2025-10-04,3,2025-10-25,US,1199,6983,5784,33454656,3118.5249999999996,0,22158,TRUE,22158
ARIMAX: surveillance + seasonal,2025-10-11,1,2025-10-18,US,1119,2349,1230,1512900,787.1608333333335,0,8284,TRUE,8284
ARIMAX: surveillance + seasonal,2025-10-11,2,2025-10-25,US,1199,4709,3510,12320100,1938.5679166666666,0,15977,TRUE,15977
ARIMAX: surveillance + seasonal,2025-10-11,3,2025-11-01,US,1358,7573,6215,38626225,3350.5387499999993,0,22663,TRUE,22663
ARIMAX: surveillance + seasonal,2025-10-18,1,2025-10-25,US,1199,2652,1453,2111209,870.6758333333333,0,8536,TRUE,8536
ARIMAX: surveillance + seasonal,2025-10-18,2,2025-11-01,US,1358,5340,3982,15856324,2163.566666666666,0,16524,TRUE,16524
ARIMAX: surveillance + seasonal,2025-10-18,3,2025-11-08,US,1787,8494,6707,44983849,3637.245000000001,0,23482,TRUE,23482
ARIMAX: surveillance + seasonal,2025-10-25,1,2025-11-01,US,1358,2938,1580,2496400,919.77875,0,8775,TRUE,8775
ARIMAX: surveillance + seasonal,2025-10-25,2,2025-11-08,US,1787,5863,4076,16613776,2224.56875,0,16973,TRUE,16973
ARIMAX: surveillance + seasonal,2025-10-25,3,2025-11-15,US,2487,8248,5761,33189121,3137.09125,0,23159,TRUE,23159
ARIMAX: surveillance + seasonal,2025-11-01,1,2025-11-08,US,1787,3228,1441,2076481,875.79875,0,9023,TRUE,9023
ARIMAX: surveillance + seasonal,2025-11-01,2,2025-11-15,US,2487,5347,2860,8179600,1689.0979166666666,0,16403,TRUE,16403
ARIMAX: surveillance + seasonal,2025-11-01,3,2025-11-22,US,3584,8946,5362,28751044,2948.2570833333334,0,23821,TRUE,23821
ARIMAX: surveillance + seasonal,2025-11-08,1,2025-11-15,US,2487,2922,435,189225,615.3545833333333,0,8673,TRUE,8673
ARIMAX: surveillance + seasonal,2025-11-08,2,2025-11-22,US,3584,6250,2666,7107556,1641.229583333333,0,17247,TRUE,17247
ARIMAX: surveillance + seasonal,2025-11-08,3,2025-11-29,US,5220,9911,4691,22005481,2659.754583333334,0,24737,TRUE,24737
ARIMAX: surveillance + seasonal,2025-11-15,1,2025-11-22,US,3584,5550,1966,3865156,1099.5120833333333,0,11247,TRUE,11247
ARIMAX: surveillance + seasonal,2025-11-15,2,2025-11-29,US,5220,9139,3919,15358561,2178.722916666667,0,20051,TRUE,20051
ARIMAX: surveillance + seasonal,2025-11-15,3,2025-12-06,US,7449,12536,5087,25877569,2840.008333333333,0,27266,TRUE,27266
ARIMAX: surveillance + seasonal,2025-11-22,1,2025-11-29,US,5220,5842,622,386884,662.9316666666667,176,11508,TRUE,11332
ARIMAX: surveillance + seasonal,2025-11-22,2,2025-12-06,US,7449,8883,1434,2056356,1305.6083333333333,0,19732,TRUE,19732
ARIMAX: surveillance + seasonal,2025-11-22,3,2025-12-13,US,11156,12343,1187,1408969,1637.5954166666668,0,27001,TRUE,27001
ARIMAX: surveillance + seasonal,2025-11-29,1,2025-12-06,US,7449,7822,373,139129,617.3241666666668,2205,13439,TRUE,11234
ARIMAX: surveillance + seasonal,2025-11-29,2,2025-12-13,US,11156,11152,4,16,1121.1058333333333,381,21923,TRUE,21542
ARIMAX: surveillance + seasonal,2025-11-29,3,2025-12-20,US,21083,14315,6768,45805824,3725.395833333334,0,28886,TRUE,28886
ARIMAX: surveillance + seasonal,2025-12-06,1,2025-12-13,US,11156,10521,635,403225,656.1816666666667,4953,16089,TRUE,11136
ARIMAX: surveillance + seasonal,2025-12-06,2,2025-12-20,US,21083,13604,7479,55935441,4395.389166666666,2920,24288,TRUE,21368
ARIMAX: surveillance + seasonal,2025-12-06,3,2025-12-27,US,37602,16382,21220,450288400,15927.104583333334,1916,30849,FALSE,28933
ARIMAX: surveillance + seasonal,2025-12-13,1,2025-12-20,US,21083,14676,6407,41049649,4399.123333333334,9154,20198,FALSE,11044
ARIMAX: surveillance + seasonal,2025-12-13,2,2025-12-27,US,37602,17583,20019,400760361,16143.329583333332,6987,28178,FALSE,21191
ARIMAX: surveillance + seasonal,2025-12-13,3,2026-01-03,US,42634,19703,22931,525830761,17683.32083333333,5357,34049,FALSE,28692
ARIMAX: surveillance + seasonal,2025-12-20,1,2025-12-27,US,37602,28356,9246,85488516,7159.869166666667,22653,34059,FALSE,11406
ARIMAX: surveillance + seasonal,2025-12-20,2,2026-01-03,US,42634,31594,11040,121881600,7211.898749999999,20700,42489,FALSE,21789
ARIMAX: surveillance + seasonal,2025-12-20,3,2026-01-10,US,29933,29798,135,18225,1537.9608333333335,15143,44453,TRUE,29310
ARIMAX: surveillance + seasonal,2025-12-27,1,2026-01-03,US,42634,47657,5023,25230529,3078.3654166666656,41593,53722,TRUE,12129
ARIMAX: surveillance + seasonal,2025-12-27,2,2026-01-10,US,29933,47282,17349,300987801,12956.417916666667,35274,59289,FALSE,24015
ARIMAX: surveillance + seasonal,2025-12-27,3,2026-01-17,US,19754,44224,24470,598780900,18479.805833333332,27849,60599,FALSE,32750
ARIMAX: surveillance + seasonal,2026-01-03,1,2026-01-10,US,29933,38638,8705,75777025,6460.081249999999,32502,44773,FALSE,12271
ARIMAX: surveillance + seasonal,2026-01-03,2,2026-01-17,US,19754,34753,14999,224970001,10664.967499999999,22905,46601,FALSE,23696
ARIMAX: surveillance + seasonal,2026-01-03,3,2026-01-24,US,16819,33444,16625,276390625,11029.700833333334,17670,49218,FALSE,31548
ARIMAX: surveillance + seasonal,2026-01-10,1,2026-01-17,US,19754,19789,35,1225,668.2404166666666,13402,26175,TRUE,12773
ARIMAX: surveillance + seasonal,2026-01-10,2,2026-01-24,US,16819,18290,1471,2163841,1495.4325,5640,30940,TRUE,25300
ARIMAX: surveillance + seasonal,2026-01-10,3,2026-01-31,US,15751,19963,4212,17740944,2601.0070833333334,3267,36660,TRUE,33393
ARIMAX: surveillance + seasonal,2026-01-17,1,2026-01-24,US,16819,18234,1415,2002225,925.8345833333334,11899,24570,TRUE,12671
ARIMAX: surveillance + seasonal,2026-01-17,2,2026-01-31,US,15751,19911,4160,17305600,2353.0724999999998,7359,32463,TRUE,25104
ARIMAX: surveillance + seasonal,2026-01-17,3,2026-02-07,US,16121,19175,3054,9326916,2222.392916666667,2603,35746,TRUE,33143
ARIMAX: surveillance + seasonal,2026-01-24,1,2026-01-31,US,15751,17339,1588,2521744,980.4658333333335,11044,23634,TRUE,12590
ARIMAX: surveillance + seasonal,2026-01-24,2,2026-02-07,US,16121,16270,149,22201,1309.6283333333333,3818,28722,TRUE,24904
ARIMAX: surveillance + seasonal,2026-01-24,3,2026-02-14,US,16436,16940,504,254016,1753.7579166666667,489,33392,TRUE,32903
ARIMAX: surveillance + seasonal,2026-01-31,1,2026-02-07,US,16121,13178,2943,8661249,1622.2387500000002,6923,19434,TRUE,12511
ARIMAX: surveillance + seasonal,2026-01-31,2,2026-02-14,US,16436,13499,2937,8625969,1867.3766666666668,1091,25907,TRUE,24816
ARIMAX: surveillance + seasonal,2026-01-31,3,2026-02-21,US,14731,18053,3322,11035684,2282.704583333333,1642,34465,TRUE,32823
ARIMAX: surveillance + seasonal,2026-02-07,1,2026-02-14,US,16436,18650,2214,4901796,1236.1841666666667,12413,24887,TRUE,12474
ARIMAX: surveillance + seasonal,2026-02-07,2,2026-02-21,US,14731,23158,8427,71014329,4916.044583333333,10798,35519,TRUE,24721
ARIMAX: surveillance + seasonal,2026-02-07,3,2026-02-28,US,11159,26077,14918,222546724,9443.05875,9795,42360,TRUE,32565
ARIMAX: surveillance + seasonal,2026-02-14,1,2026-02-21,US,14731,19258,4527,20493729,2689.3395833333334,13045,25472,TRUE,12427
ARIMAX: surveillance + seasonal,2026-02-14,2,2026-02-28,US,11159,22079,10920,119246400,6849.535416666668,9820,34337,TRUE,24517
ARIMAX: surveillance + seasonal,2026-02-14,3,2026-03-07,US,9598,24347,14749,217533001,9333.0275,8233,40461,TRUE,32228
ARIMAX: surveillance + seasonal,2026-02-21,1,2026-02-28,US,11159,14523,3364,11316496,1872.9595833333335,8276,20769,TRUE,12493
ARIMAX: surveillance + seasonal,2026-02-21,2,2026-03-07,US,9598,16560,6962,48469444,3910.592083333333,4200,28921,TRUE,24721
ARIMAX: surveillance + seasonal,2026-02-21,3,2026-03-14,US,7793,18906,11113,123498769,6498.110833333333,2745,35067,TRUE,32322
ARIMAX: surveillance + seasonal,2026-02-28,1,2026-03-07,US,9598,10981,1383,1912689,907.7541666666667,4749,17213,TRUE,12464
ARIMAX: surveillance + seasonal,2026-02-28,2,2026-03-14,US,7793,13355,5562,30935844,3055.737916666667,897,25814,TRUE,24917
ARIMAX: surveillance + seasonal,2026-02-28,3,2026-03-21,US,6088,15678,9590,91968100,5414.97,0,32142,TRUE,32142
ARIMAX: surveillance + seasonal,2026-03-07,1,2026-03-14,US,7793,10928,3135,9828225,1735.199166666667,4734,17122,TRUE,12388
ARIMAX: surveillance + seasonal,2026-03-07,2,2026-03-21,US,6088,13196,7108,50523664,4004.0241666666666,796,25596,TRUE,24800
ARIMAX: surveillance + seasonal,2026-03-07,3,2026-03-28,US,3306,14979,11673,136258929,6881.165416666667,0,31405,TRUE,31405
ARIMAX: surveillance + seasonal,2026-03-14,1,2026-03-21,US,6088,7533,1445,2088025,925.3225000000001,1344,13722,TRUE,12378
ARIMAX: surveillance + seasonal,2026-03-14,2,2026-03-28,US,3306,8931,5625,31640625,3075.882916666666,0,21355,TRUE,21355
ARIMAX: surveillance + seasonal,2026-03-14,3,2026-04-04,US,2901,10892,7991,63856081,4381.791666666667,0,27378,TRUE,27378
ARIMAX: surveillance + seasonal,2026-03-21,1,2026-03-28,US,3306,6333,3027,9162729,1672.2308333333337,180,12486,TRUE,12306
ARIMAX: surveillance + seasonal,2026-03-21,2,2026-04-04,US,2901,8131,5230,27352900,2847.6633333333334,0,20516,TRUE,20516
ARIMAX: surveillance + seasonal,2026-03-21,3,2026-04-11,US,2235,9711,7476,55890576,4064.4583333333335,0,26186,TRUE,26186
ARIMAX: surveillance + seasonal,2026-03-28,1,2026-04-04,US,2901,2655,246,60516,620.4841666666667,0,8802,TRUE,8802
ARIMAX: surveillance + seasonal,2026-03-28,2,2026-04-11,US,2235,3843,1608,2585664,1336.4204166666666,0,16235,TRUE,16235
ARIMAX: surveillance + seasonal,2026-03-28,3,2026-04-18,US,1941,5690,3749,14055001,2262.169583333333,0,22225,TRUE,22225
ARIMAX: surveillance + seasonal,2026-04-04,1,2026-04-11,US,2235,4290,2055,4223025,1148.0725,0,10396,TRUE,10396
ARIMAX: surveillance + seasonal,2026-04-04,2,2026-04-18,US,1941,6171,4230,17892900,2313.3175,0,18476,TRUE,18476
ARIMAX: surveillance + seasonal,2026-04-04,3,2026-04-25,US,1877,7072,5195,26988025,2866.7312500000007,0,23487,TRUE,23487
ARIMAX: surveillance + seasonal,2026-04-11,1,2026-04-18,US,1941,2467,526,276676,641.9250000000001,0,8548,TRUE,8548
ARIMAX: surveillance + seasonal,2026-04-11,2,2026-04-25,US,1877,3116,1239,1535121,1213.6633333333334,0,15370,TRUE,15370
ARIMAX: surveillance + seasonal,2026-04-11,3,2026-05-02,US,1649,3994,2345,5499025,1740.1570833333335,0,20365,TRUE,20365
ARIMAX: surveillance + seasonal,2026-04-18,1,2026-04-25,US,1877,2171,294,86436,594.9350000000001,0,8212,TRUE,8212
ARIMAX: surveillance + seasonal,2026-04-18,2,2026-05-02,US,1649,2979,1330,1768900,1212.1449999999998,0,15162,TRUE,15162
ARIMAX: surveillance + seasonal,2026-04-18,3,2026-05-09,US,1473,3397,1924,3701776,1591.6733333333332,0,19680,TRUE,19680
ARIMAX: surveillance + seasonal,2026-04-25,1,2026-05-02,US,1649,2453,804,646416,684.3649999999999,0,8456,TRUE,8456
ARIMAX: surveillance + seasonal,2026-04-25,2,2026-05-09,US,1473,2836,1363,1857769,1200.4512500000003,0,14945,TRUE,14945
ARIMAX: surveillance + seasonal,2026-04-25,3,2026-05-16,US,1306,2774,1468,2155024,1442.1012499999997,0,18967,TRUE,18967
ARIMAX: surveillance + seasonal,2026-05-02,1,2026-05-09,US,1473,1393,80,6400,517.7333333333333,0,7360,TRUE,7360
ARIMAX: surveillance + seasonal,2026-05-02,2,2026-05-16,US,1306,1239,67,4489,850.99375,0,13275,TRUE,13275
ARIMAX: surveillance + seasonal,2026-05-02,3,2026-05-23,US,1250,1040,210,44100,1053.615,0,17134,TRUE,17134
ARIMAX: surveillance + seasonal,2026-05-09,1,2026-05-16,US,1306,1382,76,5776,513.8908333333334,0,7310,TRUE,7310
ARIMAX: surveillance + seasonal,2026-05-09,2,2026-05-23,US,1250,1191,59,3481,838.8079166666666,0,13151,TRUE,13151
ARIMAX: surveillance + seasonal,2026-05-09,3,2026-05-30,US,1060,627,433,187489,988.55125,0,16619,TRUE,16619
ARIMAX: surveillance + seasonal,2026-05-16,1,2026-05-23,US,1250,1056,194,37636,488.9075,0,6948,TRUE,6948
ARIMAX: surveillance + seasonal,2026-05-16,2,2026-05-30,US,1060,485,575,330625,759.3920833333333,0,12371,TRUE,12371
ARIMAX: surveillance + seasonal,2026-05-16,3,2026-06-06,US,1011,0,1011,1022121,880.4445833333334,0,15605,TRUE,15605
Calibrated ARIMAX,2025-09-27,1,2025-10-04,US,976,1672,696,484416,623.87375,0,7721,TRUE,7721
Calibrated ARIMAX,2025-09-27,2,2025-10-11,US,1016,3339,2323,5396329,1436.8783333333338,0,14810,TRUE,14810
Calibrated ARIMAX,2025-09-27,3,2025-10-18,US,1119,5520,4401,19368801,2442.0333333333333,0,20866,TRUE,20866
Calibrated ARIMAX,2025-10-04,1,2025-10-11,US,1016,2380,1364,1860496,835.5870833333333,0,8367,TRUE,8367
Calibrated ARIMAX,2025-10-04,2,2025-10-18,US,1119,4533,3414,11655396,1892.5937500000007,0,15883,TRUE,15883
Calibrated ARIMAX,2025-10-04,3,2025-10-25,US,1199,6983,5784,33454656,3118.5249999999996,0,22158,TRUE,22158
Calibrated ARIMAX,2025-10-11,1,2025-10-18,US,1119,2349,1230,1512900,787.1608333333335,0,8284,TRUE,8284
Calibrated ARIMAX,2025-10-11,2,2025-10-25,US,1199,4709,3510,12320100,1938.5679166666666,0,15977,TRUE,15977
Calibrated ARIMAX,2025-10-11,3,2025-11-01,US,1358,7573,6215,38626225,3350.5387499999993,0,22663,TRUE,22663
Calibrated ARIMAX,2025-10-18,1,2025-10-25,US,1199,2652,1453,2111209,870.6758333333333,0,8536,TRUE,8536
Calibrated ARIMAX,2025-10-18,2,2025-11-01,US,1358,5340,3982,15856324,2163.566666666666,0,16524,TRUE,16524
Calibrated ARIMAX,2025-10-18,3,2025-11-08,US,1787,8494,6707,44983849,3637.245000000001,0,23482,TRUE,23482
Calibrated ARIMAX,2025-10-25,1,2025-11-01,US,1358,2938,1580,2496400,919.77875,0,8775,TRUE,8775
